city,nis,date,delta,total
Aartselaar,11001,2020-04-01,0,12
Aartselaar,11001,2020-04-02,2,14
Aartselaar,11001,2020-04-03,0,14
Aartselaar,11001,2020-04-04,0,14
Aartselaar,11001,2020-04-05,1,15
Aartselaar,11001,2020-04-06,5,20
Aartselaar,11001,2020-04-07,1,21
Aartselaar,11001,2020-04-08,0,21
Aartselaar,11001,2020-04-09,3,24
Aartselaar,11001,2020-04-10,2,26
Aartselaar,11001,2020-04-11,36,62
Aartselaar,11001,2020-04-12,34,96
Aartselaar,11001,2020-04-13,8,104
Aartselaar,11001,2020-04-14,1,105
Aartselaar,11001,2020-04-15,0,105
Aartselaar,11001,2020-04-16,3,108
Aartselaar,11001,2020-04-17,0,108
Aartselaar,11001,2020-04-18,1,109
Aartselaar,11001,2020-04-19,0,109
Aartselaar,11001,2020-04-20,0,109
Aartselaar,11001,2020-04-21,2,111
Aartselaar,11001,2020-04-22,1,112
Aartselaar,11001,2020-04-23,1,113
Aartselaar,11001,2020-04-24,1,114
Aartselaar,11001,2020-04-25,2,116
Aartselaar,11001,2020-04-26,2,118
Aartselaar,11001,2020-04-27,0,118
Aartselaar,11001,2020-04-28,1,119
Aartselaar,11001,2020-04-29,0,119
Aartselaar,11001,2020-04-30,1,120
Aartselaar,11001,2020-05-01,1,121
Aartselaar,11001,2020-05-02,3,124
Aartselaar,11001,2020-05-03,0,124
Aartselaar,11001,2020-05-04,0,124
Aartselaar,11001,2020-05-05,0,124
Aartselaar,11001,2020-05-06,0,124
Aartselaar,11001,2020-05-07,2,126
Aartselaar,11001,2020-05-08,1,127
Aartselaar,11001,2020-05-09,0,127
Aartselaar,11001,2020-05-10,0,127
Aartselaar,11001,2020-05-11,0,127
Aartselaar,11001,2020-05-12,0,127
Aartselaar,11001,2020-05-13,0,127
Aartselaar,11001,2020-05-14,0,127
Aartselaar,11001,2020-05-15,0,127
Aartselaar,11001,2020-05-16,0,127
Aartselaar,11001,2020-05-17,0,127
Aartselaar,11001,2020-05-18,0,127
Aartselaar,11001,2020-05-19,0,127
Aartselaar,11001,2020-05-20,0,127
Aartselaar,11001,2020-05-21,1,128
Aartselaar,11001,2020-05-22,1,129
Aartselaar,11001,2020-05-23,1,130
Aartselaar,11001,2020-05-24,1,131
Aartselaar,11001,2020-05-25,0,131
Aartselaar,11001,2020-05-26,0,131
Aartselaar,11001,2020-05-27,0,131
Aartselaar,11001,2020-05-28,0,131
Aartselaar,11001,2020-05-29,0,131
Aartselaar,11001,2020-05-30,0,131
Aartselaar,11001,2020-05-31,0,131
Aartselaar,11001,2020-06-01,0,131
Aartselaar,11001,2020-06-02,1,132
Aartselaar,11001,2020-06-03,0,132
Aartselaar,11001,2020-06-04,0,132
Aartselaar,11001,2020-06-05,0,132
Aartselaar,11001,2020-06-06,0,132
Aartselaar,11001,2020-06-07,0,132
Aartselaar,11001,2020-06-08,0,132
Aartselaar,11001,2020-06-09,0,132
